Year,Month,Paper_Title,Paper_URL,Paper_Access_Type,Paper_Abstract,Author_Name,Author_Nationality,Author_Total_Papers,Author_Is_High_Producer
2019,1,"The Potential of Multispectral Vegetation Indices Feature Space for Quantitatively Estimating the Photosynthetic, Non-Photosynthetic Vegetation and Bare Soil Fractions in Northern China",https://www.ingentaconnect.com/contentone/asprs/pers/2019/00000085/00000001/art00016;jsessionid=1jufp91umff03.x-ic-live-01,Subscribed content,"Non-photosynthetic vegetation (NPV) is widely distributed in the arid and semi-arid area, especially in the sandy areas. The hyperspectral-based cellulose absorption index (CAI) is an accepted method ...","Li, Xiaosong",China,2,No
2019,1,Individual Tree Detection and Crown Delineation with 3D Information from Multi-view Satellite Images,https://www.ingentaconnect.com/contentone/asprs/pers/2019/00000085/00000001/art00014;jsessionid=1jufp91umff03.x-ic-live-01,Subscribed content,"Individual tree detection and crown delineation (ITDD) are critical in forest inventory management and remote sensing based forest surveys are largely carried out through satellite images. However, mo...","Qin, Rongjun",China,8,Yes
2019,1,Assessment of Different Vegetation Parameters for Parameterizing the Coupled Water Cloud Model and Advanced Integral Equation Model for Soil Moisture Retrieval Using Time Series Sentinel-1A Data,https://www.ingentaconnect.com/contentone/asprs/pers/2019/00000085/00000001/art00013;jsessionid=1jufp91umff03.x-ic-live-01,Subscribed content,"Soil moisture is an important state variable of the land surface ecosystem. In this paper, the water cloud model (WCM) and advanced integral equation model (AIEM) are coupled to retrieve soil moisture...","Wang, Long",China,1,No
2019,1,Simultaneous Chain-Forming and Generalization of Road Networks,https://www.ingentaconnect.com/contentone/asprs/pers/2019/00000085/00000001/art00011;jsessionid=1jufp91umff03.x-ic-live-01,Subscribed content,"Streets are essential entities of urban terrain and their automatic extraction from airborne sensor data is cumbersome because of a complex interplay of geometric, topological, and semantic aspects. G...","Wenzel, Susanne",Unknown,1,No
2019,1,Individual Tree Detection and Crown Delineation with 3D Information from Multi-view Satellite Images,https://www.ingentaconnect.com/contentone/asprs/pers/2019/00000085/00000001/art00014;jsessionid=1jufp91umff03.x-ic-live-01,Subscribed content,"Individual tree detection and crown delineation (ITDD) are critical in forest inventory management and remote sensing based forest surveys are largely carried out through satellite images. However, mo...","Xiao, Changlin",China,1,No
2019,1,Individual Tree Detection and Crown Delineation with 3D Information from Multi-view Satellite Images,https://www.ingentaconnect.com/contentone/asprs/pers/2019/00000085/00000001/art00014;jsessionid=1jufp91umff03.x-ic-live-01,Subscribed content,"Individual tree detection and crown delineation (ITDD) are critical in forest inventory management and remote sensing based forest surveys are largely carried out through satellite images. However, mo...","Xie, Xiao",China,1,No
2019,1,Assessment of Different Vegetation Parameters for Parameterizing the Coupled Water Cloud Model and Advanced Integral Equation Model for Soil Moisture Retrieval Using Time Series Sentinel-1A Data,https://www.ingentaconnect.com/contentone/asprs/pers/2019/00000085/00000001/art00013;jsessionid=1jufp91umff03.x-ic-live-01,Subscribed content,"Soil moisture is an important state variable of the land surface ecosystem. In this paper, the water cloud model (WCM) and advanced integral equation model (AIEM) are coupled to retrieve soil moisture...","Xing, Minfeng",Unknown,1,No
2019,1,"The Potential of Multispectral Vegetation Indices Feature Space for Quantitatively Estimating the Photosynthetic, Non-Photosynthetic Vegetation and Bare Soil Fractions in Northern China",https://www.ingentaconnect.com/contentone/asprs/pers/2019/00000085/00000001/art00016;jsessionid=1jufp91umff03.x-ic-live-01,Subscribed content,"Non-photosynthetic vegetation (NPV) is widely distributed in the arid and semi-arid area, especially in the sandy areas. The hyperspectral-based cellulose absorption index (CAI) is an accepted method ...","Zheng, Guoxiong",China,1,No
2019,2,Hierarchical Bayesian Model Based on Robust Fixed Rank Filter for Fusing MODIS SST and AMSR-E SST,https://www.ingentaconnect.com/contentone/asprs/pers/2019/00000085/00000002/art00013;jsessionid=2gd3j8xfo480x.x-ic-live-03,Subscribed content,Spatiotemporal complete sea surface temperature (SST) dataset with higher accuracy and resolution is desirable for many studies in atmospheric science and climate change. The purpose of this study is ...,"Bo, Yanchen",Unknown,1,No
2019,2,Repeated Structure Detection for 3D Reconstruction of Building Façade from Mobile Lidar Data,https://www.ingentaconnect.com/contentone/asprs/pers/2019/00000085/00000002/art00011;jsessionid=2gd3j8xfo480x.x-ic-live-03,Subscribed content,"This study proposes a new method for repeated structure detection and the three-dimensional (3D) reconstruction of building façades from mobile lidar data. Firstly, the building façade is divided and ...","Chen, Yanming",China,1,No
2019,2,Repeated Structure Detection for 3D Reconstruction of Building Façade from Mobile Lidar Data,https://www.ingentaconnect.com/contentone/asprs/pers/2019/00000085/00000002/art00011;jsessionid=2gd3j8xfo480x.x-ic-live-03,Subscribed content,"This study proposes a new method for repeated structure detection and the three-dimensional (3D) reconstruction of building façades from mobile lidar data. Firstly, the building façade is divided and ...","Cheng, Liang",China,3,Yes
2019,2,Repeated Structure Detection for 3D Reconstruction of Building Façade from Mobile Lidar Data,https://www.ingentaconnect.com/contentone/asprs/pers/2019/00000085/00000002/art00011;jsessionid=2gd3j8xfo480x.x-ic-live-03,Subscribed content,"This study proposes a new method for repeated structure detection and the three-dimensional (3D) reconstruction of building façades from mobile lidar data. Firstly, the building façade is divided and ...","Deng, Shulin",China,1,No
2019,2,Landsat Orbital Repeat Frequency and Cloud Contamination: A Case Study for Eastern United States,https://www.ingentaconnect.com/contentone/asprs/pers/2019/00000085/00000002/art00012;jsessionid=2gd3j8xfo480x.x-ic-live-03,Subscribed content,A primary Landsat constraint is cloud contamination. The goal of this study is to evaluate how increasing Landsat temporal repeat frequency might achieve weekly cloud-free observations. This is a case...,"Goward, Samuel N.",USA,2,No
2019,2,Landsat Orbital Repeat Frequency and Cloud Contamination: A Case Study for Eastern United States,https://www.ingentaconnect.com/contentone/asprs/pers/2019/00000085/00000002/art00012;jsessionid=2gd3j8xfo480x.x-ic-live-03,Subscribed content,A primary Landsat constraint is cloud contamination. The goal of this study is to evaluate how increasing Landsat temporal repeat frequency might achieve weekly cloud-free observations. This is a case...,"Huang, Chengquan",China,1,No
2019,2,Ground-Level Ozone Concentration and Landscape Patterns in China's Urban Areas,https://www.ingentaconnect.com/contentone/asprs/pers/2019/00000085/00000002/art00015;jsessionid=2gd3j8xfo480x.x-ic-live-03,Subscribed content,"We monitored the spatio-temporal distribution of urban population-weighted ozone for 2014–2017 to investigate ground-level pollution in China. During the study period, the national average was 88.68±1...","Huang, Xin",China,2,No
2019,2,Hierarchical Bayesian Model Based on Robust Fixed Rank Filter for Fusing MODIS SST and AMSR-E SST,https://www.ingentaconnect.com/contentone/asprs/pers/2019/00000085/00000002/art00013;jsessionid=2gd3j8xfo480x.x-ic-live-03,Subscribed content,Spatiotemporal complete sea surface temperature (SST) dataset with higher accuracy and resolution is desirable for many studies in atmospheric science and climate change. The purpose of this study is ...,"Kang, Emily Lei",China,1,No
2019,2,Repeated Structure Detection for 3D Reconstruction of Building Façade from Mobile Lidar Data,https://www.ingentaconnect.com/contentone/asprs/pers/2019/00000085/00000002/art00011;jsessionid=2gd3j8xfo480x.x-ic-live-03,Subscribed content,"This study proposes a new method for repeated structure detection and the three-dimensional (3D) reconstruction of building façades from mobile lidar data. Firstly, the building façade is divided and ...","Li, Feixue",China,1,No
2019,2,Ground-Level Ozone Concentration and Landscape Patterns in China's Urban Areas,https://www.ingentaconnect.com/contentone/asprs/pers/2019/00000085/00000002/art00015;jsessionid=2gd3j8xfo480x.x-ic-live-03,Subscribed content,"We monitored the spatio-temporal distribution of urban population-weighted ozone for 2014–2017 to investigate ground-level pollution in China. During the study period, the national average was 88.68±1...","Li, Jiayi",China,1,No
2019,2,Repeated Structure Detection for 3D Reconstruction of Building Façade from Mobile Lidar Data,https://www.ingentaconnect.com/contentone/asprs/pers/2019/00000085/00000002/art00011;jsessionid=2gd3j8xfo480x.x-ic-live-03,Subscribed content,"This study proposes a new method for repeated structure detection and the three-dimensional (3D) reconstruction of building façades from mobile lidar data. Firstly, the building façade is divided and ...","Li, Manchun",China,1,No
2019,2,Repeated Structure Detection for 3D Reconstruction of Building Façade from Mobile Lidar Data,https://www.ingentaconnect.com/contentone/asprs/pers/2019/00000085/00000002/art00011;jsessionid=2gd3j8xfo480x.x-ic-live-03,Subscribed content,"This study proposes a new method for repeated structure detection and the three-dimensional (3D) reconstruction of building façades from mobile lidar data. Firstly, the building façade is divided and ...","Liu, Xiaoqiang",China,1,No
2019,2,Landsat Orbital Repeat Frequency and Cloud Contamination: A Case Study for Eastern United States,https://www.ingentaconnect.com/contentone/asprs/pers/2019/00000085/00000002/art00012;jsessionid=2gd3j8xfo480x.x-ic-live-03,Subscribed content,A primary Landsat constraint is cloud contamination. The goal of this study is to evaluate how increasing Landsat temporal repeat frequency might achieve weekly cloud-free observations. This is a case...,"Loboda, Tatiana V.",Unknown,1,No
2019,2,"Quantification of Airborne Lidar Accuracy in Coastal Dunes (Fire Island, New York)",https://www.ingentaconnect.com/contentone/asprs/pers/2019/00000085/00000002/art00014;jsessionid=2gd3j8xfo480x.x-ic-live-03,Subscribed content,"To establish a basis for the utilization of lidar topography as a data source for coastal geomorphological analyses, this study generated statistical metrics of lidar error through the comparison of a...","Psuty, Norbert P.",Unknown,1,No
2019,2,"Quantification of Airborne Lidar Accuracy in Coastal Dunes (Fire Island, New York)",https://www.ingentaconnect.com/contentone/asprs/pers/2019/00000085/00000002/art00014;jsessionid=2gd3j8xfo480x.x-ic-live-03,Subscribed content,"To establish a basis for the utilization of lidar topography as a data source for coastal geomorphological analyses, this study generated statistical metrics of lidar error through the comparison of a...","Schmelz, William J.",Germany,1,No
2019,2,Hierarchical Bayesian Model Based on Robust Fixed Rank Filter for Fusing MODIS SST and AMSR-E SST,https://www.ingentaconnect.com/contentone/asprs/pers/2019/00000085/00000002/art00013;jsessionid=2gd3j8xfo480x.x-ic-live-03,Subscribed content,Spatiotemporal complete sea surface temperature (SST) dataset with higher accuracy and resolution is desirable for many studies in atmospheric science and climate change. The purpose of this study is ...,"Tang, Qingxin",China,1,No
2019,2,Hierarchical Bayesian Model Based on Robust Fixed Rank Filter for Fusing MODIS SST and AMSR-E SST,https://www.ingentaconnect.com/contentone/asprs/pers/2019/00000085/00000002/art00013;jsessionid=2gd3j8xfo480x.x-ic-live-03,Subscribed content,Spatiotemporal complete sea surface temperature (SST) dataset with higher accuracy and resolution is desirable for many studies in atmospheric science and climate change. The purpose of this study is ...,"Wang, Yuexiang",China,1,No
2019,2,Landsat Orbital Repeat Frequency and Cloud Contamination: A Case Study for Eastern United States,https://www.ingentaconnect.com/contentone/asprs/pers/2019/00000085/00000002/art00012;jsessionid=2gd3j8xfo480x.x-ic-live-03,Subscribed content,A primary Landsat constraint is cloud contamination. The goal of this study is to evaluate how increasing Landsat temporal repeat frequency might achieve weekly cloud-free observations. This is a case...,"Williams, Darrel L.",USA,2,No
2019,2,Repeated Structure Detection for 3D Reconstruction of Building Façade from Mobile Lidar Data,https://www.ingentaconnect.com/contentone/asprs/pers/2019/00000085/00000002/art00011;jsessionid=2gd3j8xfo480x.x-ic-live-03,Subscribed content,"This study proposes a new method for repeated structure detection and the three-dimensional (3D) reconstruction of building façades from mobile lidar data. Firstly, the building façade is divided and ...","Yao, Mengru",China,1,No
2019,2,Hierarchical Bayesian Model Based on Robust Fixed Rank Filter for Fusing MODIS SST and AMSR-E SST,https://www.ingentaconnect.com/contentone/asprs/pers/2019/00000085/00000002/art00013;jsessionid=2gd3j8xfo480x.x-ic-live-03,Subscribed content,Spatiotemporal complete sea surface temperature (SST) dataset with higher accuracy and resolution is desirable for many studies in atmospheric science and climate change. The purpose of this study is ...,"Zhang, Jinzong",China,1,No
2019,2,Hierarchical Bayesian Model Based on Robust Fixed Rank Filter for Fusing MODIS SST and AMSR-E SST,https://www.ingentaconnect.com/contentone/asprs/pers/2019/00000085/00000002/art00013;jsessionid=2gd3j8xfo480x.x-ic-live-03,Subscribed content,Spatiotemporal complete sea surface temperature (SST) dataset with higher accuracy and resolution is desirable for many studies in atmospheric science and climate change. The purpose of this study is ...,"Zhu, Yuxin",China,1,No
2019,3,An Evaluation of Reflectance Calibration Methods for UAV Spectral Imagery,https://www.ingentaconnect.com/contentone/asprs/pers/2019/00000085/00000003/art00016;jsessionid=bsppvri8co0a.x-ic-live-01,Subscribed content,"Spectral imagery using micro-unmanned aerial vehicles is rapidly advancing. This study compared reflectance calibration methods for imagery acquired using the Parrot Sequoia imager, a commercial multi...","Anderson, John",USA,1,No
2019,3,"Land Cover Classification in Combined Elevation and Optical Images Supported by OSM Data, Mixed-level Features, and Non-local Optimization Algorithms",https://www.ingentaconnect.com/contentone/asprs/pers/2019/00000085/00000003/art00012;jsessionid=bsppvri8co0a.x-ic-live-01,Subscribed content,"Land cover classification from airborne data is considered a challenging task in Remote Sensing. Even in the case of available elevation data, shadows and strong intra-class variations of appearances ...","Bulatov, Dimitri",Germany,2,No
2019,3,Improved Camera Distortion Correction and Depth Estimation for Lenslet Light Field Camera,https://www.ingentaconnect.com/contentone/asprs/pers/2019/00000085/00000003/art00014;jsessionid=bsppvri8co0a.x-ic-live-01,Subscribed content,"A light field camera can capture both radiance and angular information, providing a novel solution for depth estimation. The paper proposes two improved methods including distortion model optimization...","Di, Kaichang",China,4,Yes
2019,3,An Evaluation of Reflectance Calibration Methods for UAV Spectral Imagery,https://www.ingentaconnect.com/contentone/asprs/pers/2019/00000085/00000003/art00016;jsessionid=bsppvri8co0a.x-ic-live-01,Subscribed content,"Spectral imagery using micro-unmanned aerial vehicles is rapidly advancing. This study compared reflectance calibration methods for imagery acquired using the Parrot Sequoia imager, a commercial multi...","Edwards, Jarrod",Unknown,1,No
2019,3,Analysis and Correction of Digital Elevation Models for Plain Areas,https://www.ingentaconnect.com/contentone/asprs/pers/2019/00000085/00000003/art00015;jsessionid=bsppvri8co0a.x-ic-live-01,Subscribed content,Water movement modeling in plain areas requires digital elevation models (DEMs) adequately representing the morphological and geomorphological land patterns including the presence of civil structures ...,"Fajardo, Luisa",Unknown,1,No
2019,3,Interaction Relationship Between Built-Up Land Expansion and Demographic-Social-Economic Urbanization in Shanghai-Hangzhou Bay Metropolitan Region of Eastern China,https://www.ingentaconnect.com/contentone/asprs/pers/2019/00000085/00000003/art00017;jsessionid=bsppvri8co0a.x-ic-live-01,Subscribed content,"Employing coupling coordination degree model (CCDM), this research attempts to reveal the interaction relationships between built-up land expansion (BLE) and demographic-social-economic (DSE) urbaniza...","Huang, Xin",China,2,No
2019,3,"Land Cover Classification in Combined Elevation and Optical Images Supported by OSM Data, Mixed-level Features, and Non-local Optimization Algorithms",https://www.ingentaconnect.com/contentone/asprs/pers/2019/00000085/00000003/art00012;jsessionid=bsppvri8co0a.x-ic-live-01,Subscribed content,"Land cover classification from airborne data is considered a challenging task in Remote Sensing. Even in the case of available elevation data, shadows and strong intra-class variations of appearances ...","Häufel, Gisela",Germany,1,No
2019,3,An Image-Pyramid-Based Raster-to-Vector Conversion (IPBRTVC) Framework for Consecutive-Scale Cartography and Synchronized Generalization of Classic Objects,https://www.ingentaconnect.com/contentone/asprs/pers/2019/00000085/00000003/art00011;jsessionid=bsppvri8co0a.x-ic-live-01,Subscribed content,"There are some key problems in raster-to-vector conversion and cartographic generalization, which include (1) deficient automation and low accuracy in the traditional raster-to-vector conversion proce...","Li, Chang",China,1,No
2019,3,Interaction Relationship Between Built-Up Land Expansion and Demographic-Social-Economic Urbanization in Shanghai-Hangzhou Bay Metropolitan Region of Eastern China,https://www.ingentaconnect.com/contentone/asprs/pers/2019/00000085/00000003/art00017;jsessionid=bsppvri8co0a.x-ic-live-01,Subscribed content,"Employing coupling coordination degree model (CCDM), this research attempts to reveal the interaction relationships between built-up land expansion (BLE) and demographic-social-economic (DSE) urbaniza...","Lin, Meng",China,1,No
2019,3,An Image-Pyramid-Based Raster-to-Vector Conversion (IPBRTVC) Framework for Consecutive-Scale Cartography and Synchronized Generalization of Classic Objects,https://www.ingentaconnect.com/contentone/asprs/pers/2019/00000085/00000003/art00011;jsessionid=bsppvri8co0a.x-ic-live-01,Subscribed content,"There are some key problems in raster-to-vector conversion and cartographic generalization, which include (1) deficient automation and low accuracy in the traditional raster-to-vector conversion proce...","Liu, Xiaojuan",China,1,No
2019,3,Improved Camera Distortion Correction and Depth Estimation for Lenslet Light Field Camera,https://www.ingentaconnect.com/contentone/asprs/pers/2019/00000085/00000003/art00014;jsessionid=bsppvri8co0a.x-ic-live-01,Subscribed content,"A light field camera can capture both radiance and angular information, providing a novel solution for depth estimation. The paper proposes two improved methods including distortion model optimization...","Liu, Zhaoqin",China,4,Yes
2019,3,An Image-Pyramid-Based Raster-to-Vector Conversion (IPBRTVC) Framework for Consecutive-Scale Cartography and Synchronized Generalization of Classic Objects,https://www.ingentaconnect.com/contentone/asprs/pers/2019/00000085/00000003/art00011;jsessionid=bsppvri8co0a.x-ic-live-01,Subscribed content,"There are some key problems in raster-to-vector conversion and cartographic generalization, which include (1) deficient automation and low accuracy in the traditional raster-to-vector conversion proce...","Lu, Wei",China,1,No
2019,3,"Land Cover Classification in Combined Elevation and Optical Images Supported by OSM Data, Mixed-level Features, and Non-local Optimization Algorithms",https://www.ingentaconnect.com/contentone/asprs/pers/2019/00000085/00000003/art00012;jsessionid=bsppvri8co0a.x-ic-live-01,Subscribed content,"Land cover classification from airborne data is considered a challenging task in Remote Sensing. Even in the case of available elevation data, shadows and strong intra-class variations of appearances ...","Lucks, Lukas",Unknown,1,No
2019,3,Analysis and Correction of Digital Elevation Models for Plain Areas,https://www.ingentaconnect.com/contentone/asprs/pers/2019/00000085/00000003/art00015;jsessionid=bsppvri8co0a.x-ic-live-01,Subscribed content,Water movement modeling in plain areas requires digital elevation models (DEMs) adequately representing the morphological and geomorphological land patterns including the presence of civil structures ...,"Masson, Ignacio",Unknown,1,No
2019,3,Analysis and Correction of Digital Elevation Models for Plain Areas,https://www.ingentaconnect.com/contentone/asprs/pers/2019/00000085/00000003/art00015;jsessionid=bsppvri8co0a.x-ic-live-01,Subscribed content,Water movement modeling in plain areas requires digital elevation models (DEMs) adequately representing the morphological and geomorphological land patterns including the presence of civil structures ...,"Ochoa, Cristian Guevara",Unknown,1,No
2019,3,Improved Camera Distortion Correction and Depth Estimation for Lenslet Light Field Camera,https://www.ingentaconnect.com/contentone/asprs/pers/2019/00000085/00000003/art00014;jsessionid=bsppvri8co0a.x-ic-live-01,Subscribed content,"A light field camera can capture both radiance and angular information, providing a novel solution for depth estimation. The paper proposes two improved methods including distortion model optimization...","Peng, Man",China,2,No
2019,3,"Land Cover Classification in Combined Elevation and Optical Images Supported by OSM Data, Mixed-level Features, and Non-local Optimization Algorithms",https://www.ingentaconnect.com/contentone/asprs/pers/2019/00000085/00000003/art00012;jsessionid=bsppvri8co0a.x-ic-live-01,Subscribed content,"Land cover classification from airborne data is considered a challenging task in Remote Sensing. Even in the case of available elevation data, shadows and strong intra-class variations of appearances ...","Pohl, Melanie",Unknown,1,No
2019,3,Analysis and Correction of Digital Elevation Models for Plain Areas,https://www.ingentaconnect.com/contentone/asprs/pers/2019/00000085/00000003/art00015;jsessionid=bsppvri8co0a.x-ic-live-01,Subscribed content,Water movement modeling in plain areas requires digital elevation models (DEMs) adequately representing the morphological and geomorphological land patterns including the presence of civil structures ...,"Scioli, Carlos",Unknown,1,No
2019,3,An Evaluation of Reflectance Calibration Methods for UAV Spectral Imagery,https://www.ingentaconnect.com/contentone/asprs/pers/2019/00000085/00000003/art00016;jsessionid=bsppvri8co0a.x-ic-live-01,Subscribed content,"Spectral imagery using micro-unmanned aerial vehicles is rapidly advancing. This study compared reflectance calibration methods for imagery acquired using the Parrot Sequoia imager, a commercial multi...","Shuart, William",Unknown,1,No
2019,3,Analysis and Correction of Digital Elevation Models for Plain Areas,https://www.ingentaconnect.com/contentone/asprs/pers/2019/00000085/00000003/art00015;jsessionid=bsppvri8co0a.x-ic-live-01,Subscribed content,Water movement modeling in plain areas requires digital elevation models (DEMs) adequately representing the morphological and geomorphological land patterns including the presence of civil structures ...,"Vives, Luis",Unknown,1,No
2019,3,Improved Camera Distortion Correction and Depth Estimation for Lenslet Light Field Camera,https://www.ingentaconnect.com/contentone/asprs/pers/2019/00000085/00000003/art00014;jsessionid=bsppvri8co0a.x-ic-live-01,Subscribed content,"A light field camera can capture both radiance and angular information, providing a novel solution for depth estimation. The paper proposes two improved methods including distortion model optimization...","Wang, Yexin",China,3,Yes
2019,3,An Evaluation of Reflectance Calibration Methods for UAV Spectral Imagery,https://www.ingentaconnect.com/contentone/asprs/pers/2019/00000085/00000003/art00016;jsessionid=bsppvri8co0a.x-ic-live-01,Subscribed content,"Spectral imagery using micro-unmanned aerial vehicles is rapidly advancing. This study compared reflectance calibration methods for imagery acquired using the Parrot Sequoia imager, a commercial multi...","Woolard, Jason",Unknown,1,No
2019,3,Interaction Relationship Between Built-Up Land Expansion and Demographic-Social-Economic Urbanization in Shanghai-Hangzhou Bay Metropolitan Region of Eastern China,https://www.ingentaconnect.com/contentone/asprs/pers/2019/00000085/00000003/art00017;jsessionid=bsppvri8co0a.x-ic-live-01,Subscribed content,"Employing coupling coordination degree model (CCDM), this research attempts to reveal the interaction relationships between built-up land expansion (BLE) and demographic-social-economic (DSE) urbaniza...","Xiao, Rui",China,1,No
2019,3,Improved Camera Distortion Correction and Depth Estimation for Lenslet Light Field Camera,https://www.ingentaconnect.com/contentone/asprs/pers/2019/00000085/00000003/art00014;jsessionid=bsppvri8co0a.x-ic-live-01,Subscribed content,"A light field camera can capture both radiance and angular information, providing a novel solution for depth estimation. The paper proposes two improved methods including distortion model optimization...","Yang, Changkun",China,2,No
2019,3,Interaction Relationship Between Built-Up Land Expansion and Demographic-Social-Economic Urbanization in Shanghai-Hangzhou Bay Metropolitan Region of Eastern China,https://www.ingentaconnect.com/contentone/asprs/pers/2019/00000085/00000003/art00017;jsessionid=bsppvri8co0a.x-ic-live-01,Subscribed content,"Employing coupling coordination degree model (CCDM), this research attempts to reveal the interaction relationships between built-up land expansion (BLE) and demographic-social-economic (DSE) urbaniza...","Yu, Weixuan",China,1,No
